url,status
https://www.viator.com/Shanghai-attractions/Zhujiajiao/d325-a3315,success
https://www.viator.com/South-Korea-attractions/Imjingak-Park/d972-a22692,success
https://www.viator.com/Singapore-attractions/Singapore-Botanical-Garden-and-National-Orchid-Garden/d18-a3285,success
https://www.viator.com/Bali-attractions/Ulun-Danu-Beratan-Temple-Pura-Ulun-Danu-Bratan/d98-a2623,success
https://www.viator.com/Tokyo-attractions/Hakone-Open-Air-Museum/d334-a10178,success
https://www.viator.com/Bali-attractions/Sanur-Beach-Pantai-Sanur/d98-a21359,success
https://www.viator.com/Seoul-attractions/Changdeokgung-Palace/d973-a8966,success
https://www.viator.com/Tokyo-attractions/Shinjuku/d334-a8791,success
https://www.viator.com/Singapore-attractions/Singapore-Flyer/d18-a37,success
https://www.viator.com/Singapore-attractions/Singapore-River/d18-a142,success
https://www.viator.com/Taipei-attractions/Taipei-101/d5262-a8986,success
https://www.viator.com/Kuta-attractions/Kuta-Beach-Pantai-Kuta/d22290-a2619,success
https://www.viator.com/Seoul-attractions/Blue-House-Cheong-Wa-Dae/d973-a9456,success
https://www.viator.com/Tokyo-attractions/Yoyogi-Park/d334-a8584,success
https://www.viator.com/Mekong-Delta-attractions/My-Tho/d23962-a17127,success
https://www.viator.com/Bali-attractions/Seminyak-Beach-Pantai-Seminyak/d98-a21360,success
https://www.viator.com/Tokyo-attractions/Fuji-Hakone-Izu-National-Park/d334-a237,success
https://www.viator.com/Bangkok-attractions/Khao-San-Road/d343-a2606,success
https://www.viator.com/Da-Nang-attractions/Ba-Na-Hills/d4680-a99862,success
https://www.viator.com/Siem-Reap-attractions/Phnom-Kulen-National-Park/d5480-a13327,success
https://www.viator.com/Singapore-attractions/Kampong-Glam/d18-a8738,success
https://www.viator.com/Yogyakarta-attractions/Prambanan-Temple-Complex-Taman-Wisata-Candi-Prambanan/d22560-a20713,success
https://www.viator.com/Taipei-attractions/Shifen-Waterfall/d5262-a17114,success
https://www.viator.com/Lombok-attractions/Mt-Rinjani-Gunung-Rinjani/d22869-a25129,success
https://www.viator.com/Taiwan-attractions/Sun-Moon-Lake/d778-a8985,success
https://www.viator.com/Ubud-attractions/Ubud-Palace-Puri-Saren-Agung/d5467-a13143,success
https://www.viator.com/Taipei-attractions/Yehliu-Geopark/d5262-a13865,success
https://www.viator.com/Beijing-attractions/Great-Wall-at-Badaling/d321-a16153,success
https://www.viator.com/Tokyo-attractions/National-Diet-Building/d334-a13972,success
https://www.viator.com/Singapore-attractions/Buddha-Tooth-Relic-Temple-and-Museum/d18-a10445,success
https://www.viator.com/Tokyo-attractions/Tokyo-DisneySea/d334-a23673,success
https://www.viator.com/Beijing-attractions/Chairman-Mao-Memorial-Hall/d321-a18682,success
https://www.viator.com/Ubud-attractions/Elephant-Cave-Goa-Gajah/d5467-a13142,success
https://www.viator.com/Ubud-attractions/Celuk-Village-Desa-Celuk/d5467-a16602,success
https://www.viator.com/Shanghai-attractions/The-Bund-Waitan/d325-a183,success
https://www.viator.com/Bangkok-attractions/Khao-Yai-National-Park/d343-a17296,success
https://www.viator.com/Singapore-attractions/Night-Safari-at-Singapore-Zoo/d18-a35,success
https://www.viator.com/Bali-attractions/Tirta-Gangga-Water-Garden-Taman-Tirtagangga/d98-a12901,success
https://www.viator.com/Bangkok-attractions/Giant-Swing-Sao-Ching-Cha/d343-a22807,success
https://www.viator.com/Sigiriya-attractions/Sigiriya-Rock-Fortress/d25903-a21768,success
https://www.viator.com/Seoul-attractions/National-Folk-Museum-of-Korea/d973-a20392,success
https://www.viator.com/Singapore-attractions/Raffles-Hotel/d18-a154,success
https://www.viator.com/Tokyo-attractions/Rikugien-Garden/d334-a19358,success
https://www.viator.com/Tokyo-attractions/Nakamise-Shopping-Street/d334-a8581,success
https://www.viator.com/Varanasi-attractions/Dashashwamedh-Ghat/d22015-a21530,success
https://www.viator.com/Kyoto-attractions/Maruyama-Park/d332-a21922,success
https://www.viator.com/Seoul-attractions/Namdaemun-Market/d973-a8973,success
https://www.viator.com/Southern-Thailand-and-Andaman-Coast-attractions/Similan-Islands-National-Park/d22568-a24478,success
https://www.viator.com/Seoul-attractions/Gwanghwamun-Gate/d973-a9452,success
https://www.viator.com/Angkor-Wat-attractions/Bayon/d751-a2274,success
https://www.viator.com/Bali-attractions/Kintamani/d98-a2618,success
https://www.viator.com/Varanasi-attractions/Kashi-Vishwanath-Temple/d22015-a21525,success
https://www.viator.com/Siem-Reap-attractions/Tonle-Sap/d5480-a13322,success
https://www.viator.com/Beijing-attractions/Beijing-National-Stadium/d321-a10113,success
https://www.viator.com/Beijing-attractions/Imperial-Garden-of-the-Palace-Museum/d321-a10120,success
https://www.viator.com/Taipei-attractions/Chiang-Kai-shek-Memorial-Hall/d5262-a2680,success
https://www.viator.com/Taipei-attractions/Taipei-National-Palace-Museum/d5262-a2682,success
https://www.viator.com/Seoul-attractions/Cheonggyecheon-Stream/d973-a8968,success
https://www.viator.com/Bali-attractions/Mt-Agung-Gunung-Agung/d98-a12899,success
https://www.viator.com/Bangkok-attractions/Jim-Thompson-House-Museum/d343-a8537,success
https://www.viator.com/Bangkok-attractions/Baiyoke-Sky-Tower/d343-a10191,success
https://www.viator.com/Singapore-attractions/Orchard-Road/d18-a153,success
https://www.viator.com/Bangalore-attractions/Mysore-Palace/d5310-a14954,success
https://www.viator.com/Beijing-attractions/Great-Wall-from-Jinshanling-to-Simatai/d321-a10137,success
https://www.viator.com/Shanghai-attractions/Jade-Buddha-Temple-Yufo-Si/d325-a176,success
https://www.viator.com/Taipei-attractions/Yangmingshan-National-Park/d5262-a2687,success
https://www.viator.com/Singapore-attractions/Lau-Pa-Sat/d18-a8591,success
https://www.viator.com/Bangkok-attractions/Golden-Mount-Wat-Saket/d343-a2614,success
https://www.viator.com/Taipei-attractions/Yilan/d5262-a17112,success
https://www.viator.com/Shanghai-attractions/Shanghai-French-Concession/d325-a10386,success
https://www.viator.com/Bali-attractions/Karangasem/d98-a12915,success
https://www.viator.com/Tokyo-attractions/Daibutsu-Great-Buddha-of-Kamakura/d334-a8786,success
https://www.viator.com/Bangkok-attractions/Chatuchak-Market/d343-a2602,success
https://www.viator.com/Ubud-attractions/Campuhan-Ridge-Walk/d5467-a19953,success
https://www.viator.com/Seoul-attractions/Han-River/d973-a4961,success
https://www.viator.com/Ubud-attractions/Batuan-Temple-Pura-Batuan/d5467-a22696,success
https://www.viator.com/Shanghai-attractions/Shanghai-Maglev-Train/d325-a10374,success
https://www.viator.com/Taipei-attractions/Alishan-National-Scenic-Area/d5262-a13859,success
https://www.viator.com/Angkor-Wat-attractions/Ta-Prohm/d751-a13753,success
https://www.viator.com/Taiwan-attractions/Pingxi-Branch-Rail-Line/d778-a9434,success
https://www.viator.com/Seoul-attractions/Namsangol-Hanok-Village/d973-a20487,success
https://www.viator.com/Bangkok-attractions/Bangkok-National-Museum/d343-a10201,success
https://www.viator.com/Bangalore-attractions/Bangalore-Palace/d5310-a11692,success
https://www.viator.com/South-Korea-attractions/Bulguksa-Temple/d972-a15318,success
https://www.viator.com/Bali-attractions/Taman-Ayun-Temple-Pura-Taman-Ayun/d98-a2622,success
https://www.viator.com/Shanghai-attractions/Oriental-Pearl-Tower/d325-a181,success
https://www.viator.com/Beijing-attractions/National-Museum-of-China/d321-a24113,success
https://www.viator.com/Taipei-attractions/Longshan-Temple/d5262-a2688,success
https://www.viator.com/Singapore-attractions/Boat-Quay/d18-a8593,success
https://www.viator.com/Seoul-attractions/Seoul-City-Hall/d973-a22269,success
https://www.viator.com/Beijing-attractions/Jingshan-Park-Jingshan-Gongyuan/d321-a10138,success
https://www.viator.com/Beijing-attractions/Great-Hall-of-the-People/d321-a18692,success
https://www.viator.com/Shanghai-attractions/Shanghai-Old-City/d325-a180,success
https://www.viator.com/Singapore-attractions/National-Museum-of-Singapore/d18-a8735,success
https://www.viator.com/Ubud-attractions/Saraswati-Temple-Pura-Taman-Saraswati/d5467-a22823,success
https://www.viator.com/Beijing-attractions/Meridian-Gate/d321-a10122,success
https://www.viator.com/Seoul-attractions/Hongdae/d973-a9455,success
